,Driver,Driver Points,Driver Standings,Driver Wins,Round,Season
515,ascari,18.0,1,2,4,1952
516,taruffi,13.0,2,1,4,1952
517,farina,12.0,3,0,4,1952
518,ruttman,8.0,4,1,4,1952
519,manzon,7.0,5,0,4,1952
520,fischer,6.0,6,0,4,1952
521,rathmann,6.0,7,0,4,1952
522,behra,4.0,8,0,4,1952
523,hanks,4.0,9,0,4,1952
524,hawthorn,3.0,10,0,4,1952
525,wharton,3.0,11,0,4,1952
526,darter,3.0,12,0,4,1952
527,alan_brown,2.0,13,0,4,1952
528,cross,2.0,14,0,4,1952
529,frere,2.0,15,0,4,1952
530,trintignant,2.0,16,0,4,1952
531,vukovich,1.0,17,0,4,1952
532,graffenried,0.0,18,0,4,1952
533,collins,0.0,19,0,4,1952
534,bryan,0.0,20,0,4,1952
535,hirt,0.0,21,0,4,1952
536,tornaco,0.0,22,0,4,1952
537,reece,0.0,23,0,4,1952
538,brandon,0.0,24,0,4,1952
539,claes,0.0,25,0,4,1952
540,etancelin,0.0,26,0,4,1952
541,george_connor,0.0,27,0,4,1952
542,macklin,0.0,28,0,4,1952
543,griffith,0.0,29,0,4,1952
544,bira,0.0,30,0,4,1952
545,ascari,27.0,1,3,5,1952
546,taruffi,19.0,2,1,5,1952
547,farina,12.0,3,0,5,1952
548,ruttman,8.0,4,1,5,1952
549,manzon,7.0,5,0,5,1952
550,hawthorn,7.0,6,0,5,1952
551,fischer,6.0,7,0,5,1952
552,rathmann,6.0,8,0,5,1952
553,behra,4.0,9,0,5,1952
554,hanks,4.0,10,0,5,1952
555,wharton,3.0,11,0,5,1952
556,darter,3.0,12,0,5,1952
557,poore,3.0,13,0,5,1952
558,alan_brown,2.0,14,0,5,1952
559,trintignant,2.0,15,0,5,1952
560,cross,2.0,16,0,5,1952
561,frere,2.0,17,0,5,1952
562,thompson,2.0,18,0,5,1952
563,vukovich,1.0,19,0,5,1952
564,graffenried,0.0,20,0,5,1952
565,collins,0.0,21,0,5,1952
566,bryan,0.0,22,0,5,1952
567,hirt,0.0,23,0,5,1952
568,tornaco,0.0,24,0,5,1952
569,reg_parnell,0.0,25,0,5,1952
570,reece,0.0,26,0,5,1952
571,brandon,0.0,27,0,5,1952
572,claes,0.0,28,0,5,1952
573,etancelin,0.0,29,0,5,1952
574,george_connor,0.0,30,0,5,1952
575,ascari,36.0,1,4,6,1952
576,taruffi,22.0,2,1,6,1952
577,farina,18.0,3,0,6,1952
578,fischer,10.0,4,0,6,1952
579,ruttman,8.0,5,1,6,1952
580,manzon,7.0,6,0,6,1952
581,hawthorn,7.0,7,0,6,1952
582,rathmann,6.0,8,0,6,1952
583,behra,6.0,9,0,6,1952
584,hanks,4.0,10,0,6,1952
585,wharton,3.0,11,0,6,1952
586,darter,3.0,12,0,6,1952
587,poore,3.0,13,0,6,1952
588,alan_brown,2.0,14,0,6,1952
589,trintignant,2.0,15,0,6,1952
590,frere,2.0,16,0,6,1952
591,cross,2.0,17,0,6,1952
592,thompson,2.0,18,0,6,1952
593,vukovich,1.0,19,0,6,1952
594,laurent,0.0,20,0,6,1952
595,graffenried,0.0,21,0,6,1952
596,collins,0.0,22,0,6,1952
597,bryan,0.0,23,0,6,1952
598,hirt,0.0,24,0,6,1952
599,tornaco,0.0,25,0,6,1952
600,reg_parnell,0.0,26,0,6,1952
601,reece,0.0,27,0,6,1952
602,riess,0.0,28,0,6,1952
603,brandon,0.0,29,0,6,1952
604,claes,0.0,30,0,6,1952
605,ascari,36.0,1,5,7,1952
606,farina,24.0,2,0,7,1952
607,taruffi,22.0,3,1,7,1952
608,fischer,10.0,4,0,7,1952
609,hawthorn,10.0,5,0,7,1952
610,manzon,9.0,6,0,7,1952
611,ruttman,8.0,7,1,7,1952
612,rathmann,6.0,8,0,7,1952
613,behra,6.0,9,0,7,1952
614,hanks,4.0,10,0,7,1952
615,villoresi,4.0,11,0,7,1952
616,wharton,3.0,12,0,7,1952
617,darter,3.0,13,0,7,1952
618,poore,3.0,14,0,7,1952
619,alan_brown,2.0,15,0,7,1952
620,trintignant,2.0,16,0,7,1952
621,frere,2.0,17,0,7,1952
622,cross,2.0,18,0,7,1952
623,thompson,2.0,19,0,7,1952
624,vukovich,1.0,20,0,7,1952
625,laurent,0.0,21,0,7,1952
626,graffenried,0.0,22,0,7,1952
627,collins,0.0,23,0,7,1952
628,bryan,0.0,24,0,7,1952
629,hirt,0.0,25,0,7,1952
630,tornaco,0.0,26,0,7,1952
631,duncan_hamilton,0.0,27,0,7,1952
632,reg_parnell,0.0,28,0,7,1952
633,reece,0.0,29,0,7,1952
634,riess,0.0,30,0,7,1952
635,ascari,36.0,1,6,8,1952
636,farina,24.0,2,0,8,1952
637,taruffi,22.0,3,1,8,1952
638,fischer,10.0,4,0,8,1952
639,hawthorn,10.0,5,0,8,1952
640,manzon,9.0,6,0,8,1952
641,ruttman,8.0,7,1,8,1952
642,villoresi,8.0,8,0,8,1952
643,gonzalez,,9,0,8,1952
644,rathmann,6.0,10,0,8,1952
645,behra,6.0,11,0,8,1952
646,hanks,4.0,12,0,8,1952
647,wharton,3.0,13,0,8,1952
648,poore,3.0,14,0,8,1952
649,darter,3.0,15,0,8,1952
650,alan_brown,2.0,16,0,8,1952
651,trintignant,2.0,17,0,8,1952
652,frere,2.0,18,0,8,1952
653,bonetto,2.0,19,0,8,1952
654,cross,2.0,20,0,8,1952
655,thompson,2.0,21,0,8,1952
656,vukovich,1.0,22,0,8,1952
657,laurent,0.0,23,0,8,1952
658,graffenried,0.0,24,0,8,1952
659,simon,0.0,25,0,8,1952
660,collins,0.0,26,0,8,1952
661,bryan,0.0,27,0,8,1952
662,hirt,0.0,28,0,8,1952
663,tornaco,0.0,29,0,8,1952
664,duncan_hamilton,0.0,30,0,8,1952
665,ascari,9.0,1,1,1,1953
666,villoresi,6.0,2,0,1,1953
667,gonzalez,4.0,3,0,1,1953
668,hawthorn,3.0,4,0,1,1953
669,galvez,2.0,5,0,1,1953
670,behra,0.0,6,0,1,1953
671,schell,0.0,7,0,1,1953
672,trintignant,0.0,8,0,1,1953
673,john_barber,0.0,9,0,1,1953
674,alan_brown,0.0,10,0,1,1953
675,manzon,0.0,11,0,1,1953
676,fangio,0.0,12,0,1,1953
677,bonetto,0.0,13,0,1,1953
678,farina,0.0,14,0,1,1953
679,menditeguy,0.0,15,0,1,1953
680,birger,0.0,16,0,1,1953
681,cruz,0.0,17,0,1,1953
682,ascari,9.0,1,1,2,1953
683,vukovich,9.0,2,1,2,1953
684,cross,6.0,3,0,2,1953
685,villoresi,6.0,4,0,2,1953
686,gonzalez,4.0,5,0,2,1953
687,hawthorn,3.0,6,0,2,1953
688,darter,2.0,7,0,2,1953
689,hanks,2.0,8,0,2,1953
690,galvez,2.0,9,0,2,1953
691,mcgrath,2.0,10,0,2,1953
692,paul_russo,,11,0,2,1953
693,agabashian,,12,0,2,1953
694,behra,0.0,13,0,2,1953
695,daywalt,0.0,14,0,2,1953
696,rathmann,0.0,15,0,2,1953
697,johnson,0.0,16,0,2,1953
698,schell,0.0,17,0,2,1953
699,trintignant,0.0,18,0,2,1953
700,john_barber,0.0,19,0,2,1953
701,mccoy,0.0,20,0,2,1953
702,stevenson,0.0,21,0,2,1953
703,hartley,0.0,22,0,2,1953
704,bettenhausen,0.0,23,0,2,1953
705,alan_brown,0.0,24,0,2,1953
706,davies,0.0,25,0,2,1953
707,nalon,0.0,26,0,2,1953
708,bob_scott,0.0,27,0,2,1953
709,scarborough,0.0,28,0,2,1953
710,ayulo,0.0,29,0,2,1953
711,bryan,0.0,30,0,2,1953
712,ascari,17.0,1,2,3,1953
713,vukovich,9.0,2,1,3,1953
714,villoresi,7.0,3,0,3,1953
715,farina,6.0,4,0,3,1953
